subdir,filename,size,md5,sha256,internal_version
vision-v821/aiglass-ab,20260523100945_openwrt_v821_aiglass-ab.swu,12651520,4d7319ec7e5928154d65de8372fa7da2,2003cec3b4d32307e1b5fe849b556ef4854f9b9d35fe62eec655a680cc9c6c3b,
vision-v821/aiglass-ab,20260523142432_openwrt_v821_aiglass-ab.swu,12499968,d51e84e12c68550eba5f0a2e6d5d94d5,8eb2bf5365aecee93bb487725881491e0abdfa37cebc1e7069504ca3577dcbe4,
vision-v821/aiglass-ab,20260525161658_openwrt_v821_aiglass-ab.swu,12640768,6ef286937d515d7f847ee0758d6e17b9,0c72f36b106f9d5ca956ccb085d2c0260a74cc7ec776daca63e8e22a634f565c,
vision-v821/aiglass-ab,20260525193750_openwrt_v821_aiglass-ab.swu,13018112,f26d8f26bc5809342e24d27b20d23302,b89bf6e9799d3f4b885da6cb2fe7e426d262e95bd48d7e6c90d26fee1ee3055a,
vision-v821/aiglass-ab,20260526105650_openwrt_v821_aiglass-ab.swu,12502528,3f609745e53519c3501b10e674c58529,3bd10f6d0c68b248de56a556b9d7054930dc12f38ea6596282ae9e9985412200,
vision-v821/aiglass-ab,20260526164049_openwrt_v821_aiglass-ab.swu,12510720,686a985739fb9fc91aa3cb6bf940c408,493a945f5360d01e1c2b8824fb0253053f694b5773340dce3364b0331c907822,
vision-v821/aiglass-ab,20260527102032_openwrt_v821_aiglass-ab.swu,12508672,3282b8b3c75668f74e6d26c2b60b5606,f514f54ee119219f2330edf8705017dc37cbb086ec86e786252eb44036a04b5e,
vision-v821/aiglass-ab,20260527193007_openwrt_v821_aiglass-ab.swu,12503552,16e397a23d3838c0bb892d993712c422,87c142e67c2dced11313e0f5ea8e53fd89901a5680a4f25de778e410a76b0269,
vision-v821/aiglass-ab,20260604203926_openwrt_v821_aiglass-ab.swu,12519424,7c240b55844a7c51df6db2544354762f,b5ac015b03a41fa9b82fe1d37bb25a4458f950006ffe1ecd1675dac235137016,
vision-v821/aiglass-ab,20260605114817_openwrt_v821_aiglass-ab.swu,12649472,edd8b3522ffa2c05a2a128d963ebcf6d,fd122e64b811515b3f220427fdc25a1f66cb4a3778e0927a75eaf36f2f3ffe20,
